issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,Your request has been escalated to a human support agent who will contact you shortly.,general,escalated,product_issue,Safety gate triggered: unauthorized account restoration
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Thank you for reaching out. We understand this is a frustrating situation. Your request involves a dispute over test scoring and a request to intervene in a company's hiring decision, which requires human review by our support team. We are escalating your ticket so a Hackerrank support representative can look into your concern. Please note that hiring decisions are made by the recruiting company and not by Hackerrank, but we can investigate any potential technical grading issues on our end.",Screen > Candidate Test Results,escalated,product_issue,"This ticket involves a score dispute and a potential platform grading error, which is a sensitive case requiring human review. Per Rule 4, billing disputes and sensitive cases must always be escalated. No specific document in the corpus covers candidate-side score disputes or intervention in hiring decisions, so escalation is also appropriate per Rule 2. Partial reference to scoring behavior noted in Doc 2 (Greenhouse-HackerRank Integration FAQs) and Doc 4 (Jobvite - HackerRank Integration User Guide), which indicate scores are system-generated and synced, but do not provide a resolution path for candidate disputes. [Post-check: LLM-decided escalation]"
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,Your request has been escalated to a human support agent who will contact you shortly.,general,escalated,product_issue,Safety gate triggered: billing/refund request
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,Your request has been escalated to a human support agent who will contact you shortly.,general,escalated,product_issue,Safety gate triggered: billing/refund request
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"Thank you for reaching out. We understand you're having an issue with a payment (Order ID: cs_live_abcdefgh). Since this involves a billing dispute tied to a specific transaction, this requires escalation to our specialized support team for secure handling. A team member will follow up with you shortly to resolve this.","Subscriptions, Payments, and Billing",escalated,product_issue,"Per Rule 4, billing disputes must always be escalated. The reference document 'Subscriptions, Payments, and Billing FAQs' (https://help.hackerrank.com/articles/9157064719-payments-and-billing-faqs) does not provide enough information to resolve a specific order-level billing issue. The document only covers general payment failure guidance (refresh and retry, refund in 5–10 business days) and does not address dispute resolution for specific order IDs. [Post-check: LLM-decided escalation]"
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Thank you for reaching out! We understand you're looking to get started with HackerRank for hiring and need assistance with your company's information security (infosec) process, including filling out security/compliance forms. This is a sensitive area that our standard support documentation does not cover, so we are escalating your ticket to a specialist who can assist you with the appropriate security documentation and compliance requirements. Someone from our team will be in touch with you shortly.",Onboarding / Security & Compliance,escalated,product_issue,"The reference documents (including Doc 1: 'Onboarding Candidates' and Doc 2/4: 'Early Talent') do not contain any information about infosec processes, vendor security assessments, or compliance form-filling procedures. Per Rule 4, security-related requests are sensitive cases that must always be escalated. Per Rule 2, the corpus lacks sufficient information to provide a grounded answer. [Post-check: LLM-decided escalation]"
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"Thank you for reaching out! We're sorry to hear you're having trouble with submissions and the Apply tab. Unfortunately, our reference documentation does not contain enough detail to resolve this specific issue directly. We are escalating your ticket to our support team who can investigate further and assist you.",SkillUp > Getting Started,escalated,product_issue,"The ticket references a 'submissions not working' issue and inability to see an 'Apply tab' — likely related to the HackerRank practice/learning product. Doc 2 ('Get Started with Learn') touches on the Learn/SkillUp product area but does not contain information about submissions or an Apply tab. No other document covers this topic sufficiently. Per Rule 2, insufficient documentation requires escalation. [Post-check: LLM-decided escalation]"
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Thank you for reaching out to HackerRank Support. We're sorry to hear you're experiencing issues with submissions not working across any challenges. This sounds like it could be a platform-wide or account-level technical issue that requires immediate investigation by our technical team. We are escalating your ticket to a specialist who will look into this as soon as possible. Please be ready to share details such as your browser version, operating system, any error messages you're seeing, and the approximate time the issue started, as this will help us resolve it faster.",Screen > Test Taking / Submissions,escalated,product_issue,"The provided reference documents (Plagiarism Best Practices Guide, Eightfold Integration Guide, SmartRecruiters Integration Guide, Hidden Test Cases Guide) do not contain information about submission failures or platform-wide technical issues. Per Rule 2, when the reference documents do not contain enough information to answer, the ticket must be escalated. Additionally, a potential service outage or platform malfunction falls under sensitive cases per Rule 4. [Post-check: LLM-decided escalation]"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Thank you for reaching out to HackerRank Support. We understand you are experiencing a blocker during the compatibility check, specifically related to Zoom connectivity, which is preventing you from taking your test. We're sorry for the inconvenience this has caused. Unfortunately, the reference materials available to us do not contain specific troubleshooting steps for Zoom connectivity issues during the compatibility check. We are escalating your ticket to a specialist who will be able to assist you further. Please stand by and a member of our team will be in touch shortly.",Interviews > Manage Interviews,escalated,product_issue,"The reference documents provided (Docs 1–5) do not contain any information about compatibility checks or Zoom connectivity issues during HackerRank tests or interviews. The topic is a legitimate HackerRank product issue but lacks sufficient documentation to provide a grounded answer, requiring escalation per Rule 2. [Post-check: LLM-decided escalation]"
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Thank you for reaching out. Your request to reschedule your HackerRank assessment has been received. Unfortunately, our support team does not have enough information in our current documentation to directly action a rescheduling on your behalf, as this is typically managed by the company that invited you to take the assessment. We are escalating your ticket to a specialist who can assist further. In the meantime, we also recommend reaching out directly to the recruiting or HR team at the company that sent you the assessment invitation, as they are best positioned to grant a rescheduled attempt.",Screen > Invite Candidates,escalated,product_issue,"The reference documents (including Doc 2: 'Onboarding Candidates' and Doc 4: 'Manage Email Templates') cover assessment invitations from the employer/recruiter side but do not contain any policy or procedure for candidates to reschedule assessments. Because there is insufficient documentation to provide a definitive answer and this involves a candidate-facing account/assessment access issue, the ticket is escalated per Rule 2. [Post-check: LLM-decided escalation]"
